,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Silking,EVI_Dough,PDSI_Dough,PDSI_Dent,PDSI_Maturity,PDSI_Harvest,PIC
8,2012,illinois_de witt,8.429435212800001,-4.468938554149419,-4.643515130289922,-5.93574722286828,0.5797551989345507,-6.855790669597849,-7.429726154421582,-7.532606801975992,-6.5919973902696976,0.0522758100712867
48,2012,illinois_logan,6.052384658,-4.488803543018422,-4.623839424379287,-5.784771655597076,0.5410476474627756,-6.779195689695716,-7.3488078503001475,-7.566444115589245,-7.147693541888248,0.0522758100712867
90,2012,illinois_macon,6.4475144336,-3.804266857693264,-3.958016262306536,-5.354871072592237,0.5049541037111047,-6.478060613870187,-7.1465198356396655,-7.350018069404999,-6.676253664257946,0.0522758100712867
132,2012,illinois_marshall,7.770885586800001,-2.236959138022383,-2.3997863293354413,-3.2890384469179725,0.5933328619169812,-4.260050333853507,-4.798275146719583,-5.048344377848831,-4.64673540518137,0.0522758100712867
174,2012,illinois_mason,6.911635122400001,-3.7846406085922575,-3.9335842037616153,-5.153409714713446,0.4993671156248662,-6.081471764346765,-6.581345558166502,-6.746296562002354,-6.28561953579911,0.0522758100712867
215,2012,illinois_mclean,6.867731814000001,-4.147037769205022,-4.382309088813603,-5.629509654429443,0.5637927216293419,-6.5828024096339215,-7.079319013561101,-7.077342069553687,-6.109783237773004,0.0522758100712867
257,2012,illinois_menard,6.108831768800001,-3.824887471394128,-3.951820295955752,-5.174823362499016,0.490223062306983,-6.187847242204914,-6.735860608731137,-6.9507711705692445,-6.558963452885636,0.0522758100712867
296,2012,illinois_peoria,10.1542080428,-2.5986836094209456,-2.736129134486026,-3.6157340773874287,0.6079775128637342,-4.492290398721064,-5.012350746690286,-5.251151606843551,-4.855230692493428,0.0522758100712867
338,2012,illinois_stark,9.307501380800002,-2.0526885659374936,-2.195754943365733,-3.040908099048554,0.6032270804665166,-3.9625883922139775,-4.520866228935262,-4.802675741990732,-4.530141384184482,0.0522758100712867
380,2012,illinois_tazewell,8.366716200800001,-3.796361838755163,-3.991625248855083,-5.128146531711772,0.5315565585042131,-6.0872696250380285,-6.596095359409209,-6.681733457135677,-6.05457630855826,0.0522758100712867
422,2012,illinois_woodford,6.428698730000001,-2.940092836980625,-3.1473537600218697,-4.231483386551023,0.5462616968360794,-5.2521088364788975,-5.792167945423448,-5.922866876670991,-5.312656773293793,0.0522758100712867
464,2012,illinois_champaign,6.830100406800001,-3.4196964247669106,-3.70908907492317,-5.05170989524659,0.546288839844988,-6.14657843177179,-6.83510941576835,-6.903324547731849,-5.8442006334847525,0.0522758100712867
506,2012,illinois_ford,4.0077448668,-3.847375141323878,-4.091448415773271,-5.292164252898283,0.510027791549727,-6.257335349291036,-6.86423585943334,-6.9545250995328685,-6.138066903817802,0.0522758100712867
548,2012,illinois_iroquois,6.6293995684,-3.4064912556088043,-3.6560961754127472,-4.597638242681632,0.5781862544148466,-5.4564642796227245,-6.034525780311998,-6.187632901857724,-5.819062701816468,0.0522758100712867
590,2012,illinois_kankakee,7.476106230400001,-2.681078706659019,-2.993156464521492,-3.9306072682276456,0.5666859295389969,-4.667654687423254,-5.194753551337533,-5.465629903421998,-5.437724619395961,0.0522758100712867
631,2012,illinois_livingston,5.2244936996,-3.413075405867145,-3.66935292088248,-4.642246444040126,0.5269604045155484,-5.59626241100536,-6.18241265887389,-6.392161206155912,-5.877148834863693,0.0522758100712867
673,2012,illinois_piatt,8.2036467696,-3.80872530744186,-4.045217214165593,-5.41731846780436,0.5642371760827443,-6.467617327005327,-7.149369548979726,-7.288889202474255,-6.381139489702498,0.0522758100712867
715,2012,illinois_vermilion,6.2781731012,-2.6114101610552667,-2.91463525067539,-4.387235498640261,0.5391101974056444,-5.528868811437484,-6.214766956124168,-6.273242852188521,-5.375493897211336,0.0522758100712867
756,2012,illinois_clark,3.2049415132000005,-1.0098907712812502,-1.3000879922053878,-2.9532931623118066,0.4899632083526701,-4.301933139723577,-5.090145047098674,-5.406892133692717,-4.847077560208646,0.0522758100712867
836,2012,illinois_coles,5.6008077716,-1.5678218244977642,-1.7667933490864307,-3.3179791989981995,0.4779327466106011,-4.64825021600923,-5.4462996154737215,-5.723820744099616,-5.051985490299596,0.0522758100712867
877,2012,illinois_crawford,2.1763497164000003,-0.3484156798289046,-1.2445936085461626,-2.940770774008083,0.4233498621676426,-4.249992055394615,-5.025890426933323,-5.346442058571735,-4.834743207465782,0.0522758100712867
918,2012,illinois_cumberland,2.1512621116,-1.0954799002463251,-1.2599603824783512,-2.7677212827846027,0.4607845374971134,-4.0237734222910575,-4.736111551025751,-4.958451769199606,-4.26426315468412,0.0522758100712867
