,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Blooming,EVI_Podding,PDSI_Podding,PDSI_Dropping leaves,PDSI_Harvest,PIC
8,2012,illinois_de witt,3.73632,-4.753536318458334,-4.900573293121058,-6.352465839768285,0.6026510137621939,-6.928513653608786,-6.78412597752862,-6.274028803266449,0.0308342236721445
48,2012,illinois_logan,3.17856,-4.682206080484336,-4.805228009836709,-6.188069600850243,0.5404923612955881,-6.817257254702564,-7.225154281599086,-6.942873202523532,0.0308342236721445
88,2012,illinois_macon,3.0105599999999995,-4.026494118782653,-4.193996911333187,-5.776994220076663,0.5087917437128464,-6.52090555491775,-6.8539933692806025,-6.437461151919079,0.0308342236721445
130,2012,illinois_marshall,3.024,-2.446272052269356,-2.492830891001458,-3.752742640644896,0.5678748005000084,-4.38185130677192,-4.810654355731665,-4.794411776346319,0.0308342236721445
171,2012,illinois_mason,2.47296,-3.839211197501248,-3.972587428278136,-5.351936937072902,0.5102962854220082,-5.919928818150246,-6.084174730939773,-5.861907794174639,0.0308342236721445
212,2012,illinois_mclean,3.5145599999999995,-4.395069425897726,-4.54845716411764,-5.968031517862892,0.5715328323207017,-6.55096376217309,-6.1607421345841935,-5.785208587332253,0.0308342236721445
254,2012,illinois_menard,2.76192,-4.015763939714726,-4.134946037405803,-5.589498466547624,0.4733435938241222,-6.228032432956461,-6.657916631595588,-6.389810931903345,0.0308342236721445
295,2012,illinois_peoria,3.63552,-2.834254232187312,-2.898660345972842,-4.065074844350293,0.6099926472349205,-4.616601249034898,-4.936376635132963,-4.917427176161659,0.0308342236721445
337,2012,illinois_stark,3.4272,-2.234386361512271,-2.2766204287247227,-3.4082067903605378,0.6022961268051509,-3.985490896196077,-4.550271588889036,-4.5217045197703625,0.0308342236721445
378,2012,illinois_tazewell,3.4608,-4.187465659475452,-4.331894971679683,-5.654328210500006,0.5587017533091208,-6.263423922098684,-6.242763753043123,-6.053985978168131,0.0308342236721445
420,2012,illinois_woodford,3.1248,-3.273951821613088,-3.387273722354521,-4.740565220577217,0.5415409075516227,-5.376163849698588,-5.423148479861526,-5.27735206269919,0.0308342236721445
462,2012,illinois_champaign,3.16512,-3.770175995269593,-3.962188795516392,-5.408106049647545,0.5640868993934152,-6.127196661490903,-5.94154687070316,-5.390048390628424,0.0308342236721445
504,2012,illinois_ford,2.77536,-4.171025337874953,-4.261104772447746,-5.659390150489587,0.5134805112887605,-6.2771311909372045,-6.21855003771824,-5.950004829622172,0.0308342236721445
546,2012,illinois_iroquois,3.00384,-3.814982244633416,-3.8525509588705553,-5.088332067665677,0.5673460751336373,-5.681335471728917,-5.93435415826398,-5.86009972882869,0.0308342236721445
