Year,yield(t/ha),State,County
2019,10.93192379,ILLINOIS,OTHER (COMBINED) COUNTIES
2012,9.865700588,ILLINOIS,OTHER (COMBINED) COUNTIES
2021,12.76331894,ILLINOIS,BUREAU
2020,12.50617099,ILLINOIS,BUREAU
2019,11.28315026,ILLINOIS,BUREAU
2018,13.42814047,ILLINOIS,BUREAU
2017,13.50967518,ILLINOIS,BUREAU
2016,12.78840655,ILLINOIS,BUREAU
2015,12.34310156,ILLINOIS,BUREAU
2014,12.29292635,ILLINOIS,BUREAU
2013,11.65946433,ILLINOIS,BUREAU
2012,9.138160048,ILLINOIS,BUREAU
2011,11.12008083,ILLINOIS,BUREAU
2010,10.4552593,ILLINOIS,BUREAU
2009,11.03854611,ILLINOIS,BUREAU
2008,12.48108339,ILLINOIS,BUREAU
2007,12.23020734,ILLINOIS,BUREAU
2006,11.16398414,ILLINOIS,BUREAU
2005,8.529785632,ILLINOIS,BUREAU
2004,11.66573623,ILLINOIS,BUREAU
2003,10.9758271,ILLINOIS,BUREAU
2002,10.22319896,ILLINOIS,BUREAU
2001,10.59951303,ILLINOIS,BUREAU
2000,9.470570812,ILLINOIS,BUREAU
1999,8.717942668,ILLINOIS,BUREAU
1998,10.09776093,ILLINOIS,BUREAU
1997,8.15347156,ILLINOIS,BUREAU
1996,9.345132788,ILLINOIS,BUREAU
1995,7.902595512,ILLINOIS,BUREAU
1994,10.41135599,ILLINOIS,BUREAU
1993,8.341628596,ILLINOIS,BUREAU
1992,9.09425674,ILLINOIS,BUREAU
1991,8.028033536,ILLINOIS,BUREAU
1990,7.777157488,ILLINOIS,BUREAU
1989,7.087248356,ILLINOIS,BUREAU
1988,4.202173804,ILLINOIS,BUREAU
1987,8.278909584,ILLINOIS,BUREAU
1986,8.46706662,ILLINOIS,BUREAU
1985,8.46706662,ILLINOIS,BUREAU
1984,8.216190572,ILLINOIS,BUREAU
1983,5.832868116,ILLINOIS,BUREAU
1982,8.341628596,ILLINOIS,BUREAU
1981,8.529785632,ILLINOIS,BUREAU
1980,7.087248356,ILLINOIS,BUREAU
2021,12.85739746,ILLINOIS,CARROLL
2020,12.5249867,ILLINOIS,CARROLL
2019,12.92638837,ILLINOIS,CARROLL
2018,13.61629751,ILLINOIS,CARROLL
2017,14.92712486,ILLINOIS,CARROLL
2016,14.54453888,ILLINOIS,CARROLL
2015,12.80722225,ILLINOIS,CARROLL
2014,12.29919825,ILLINOIS,CARROLL
2013,12.5187148,ILLINOIS,CARROLL
2012,9.903331995,ILLINOIS,CARROLL
2011,11.4963949,ILLINOIS,CARROLL
2010,11.90406848,ILLINOIS,CARROLL
2009,11.85389327,ILLINOIS,CARROLL
2008,11.60301722,ILLINOIS,CARROLL
2007,11.72845524,ILLINOIS,CARROLL
2006,11.60301722,ILLINOIS,CARROLL
2005,10.22319896,ILLINOIS,CARROLL
2004,11.85389327,ILLINOIS,CARROLL
2003,10.85038908,ILLINOIS,CARROLL
2002,11.16398414,ILLINOIS,CARROLL
2001,10.34863698,ILLINOIS,CARROLL
2000,9.4078518,ILLINOIS,CARROLL
1999,10.16047994,ILLINOIS,CARROLL
1998,9.972322908,ILLINOIS,CARROLL
1997,8.592504644,ILLINOIS,CARROLL
1996,9.09425674,ILLINOIS,CARROLL
1995,7.651719464,ILLINOIS,CARROLL
1994,10.09776093,ILLINOIS,CARROLL
1993,6.961810332,ILLINOIS,CARROLL
1992,8.655223656,ILLINOIS,CARROLL
1991,7.965314524,ILLINOIS,CARROLL
1990,8.46706662,ILLINOIS,CARROLL
1989,8.028033536,ILLINOIS,CARROLL
1988,3.512264672,ILLINOIS,CARROLL
1987,8.592504644,ILLINOIS,CARROLL
1986,8.341628596,ILLINOIS,CARROLL
1985,9.219694764,ILLINOIS,CARROLL
1984,6.89909132,ILLINOIS,CARROLL
1983,5.707430092,ILLINOIS,CARROLL
1982,8.15347156,ILLINOIS,CARROLL
1981,7.965314524,ILLINOIS,CARROLL
1980,7.087248356,ILLINOIS,CARROLL
2021,12.70059993,ILLINOIS,HENRY
2020,13.03928259,ILLINOIS,HENRY
2019,11.72845524,ILLINOIS,HENRY
2018,13.76682313,ILLINOIS,HENRY
2017,13.64765701,ILLINOIS,HENRY
2016,13.03928259,ILLINOIS,HENRY
2015,12.11731312,ILLINOIS,HENRY
2014,12.18003213,ILLINOIS,HENRY
2013,11.57165771,ILLINOIS,HENRY
2012,8.78066168,ILLINOIS,HENRY
2011,10.93819569,ILLINOIS,HENRY
2010,9.959779106,ILLINOIS,HENRY
2009,11.41486018,ILLINOIS,HENRY
2008,11.54029821,ILLINOIS,HENRY
2007,11.85389327,ILLINOIS,HENRY
2006,10.72495105,ILLINOIS,HENRY
2005,7.965314524,ILLINOIS,HENRY
2004,11.66573623,ILLINOIS,HENRY
2003,10.66223204,ILLINOIS,HENRY
2002,10.53679402,ILLINOIS,HENRY
2001,9.846884884,ILLINOIS,HENRY
2000,9.219694764,ILLINOIS,HENRY
1999,8.906099704,ILLINOIS,HENRY
1998,9.784165872,ILLINOIS,HENRY
1997,7.714438476,ILLINOIS,HENRY
1996,8.717942668,ILLINOIS,HENRY
1995,7.777157488,ILLINOIS,HENRY
1994,10.22319896,ILLINOIS,HENRY
1993,7.8398765,ILLINOIS,HENRY
1992,9.031537728,ILLINOIS,HENRY
1991,7.338124404,ILLINOIS,HENRY
1990,7.714438476,ILLINOIS,HENRY
1989,6.460058236,ILLINOIS,HENRY
1988,3.951297756,ILLINOIS,HENRY
1987,7.8398765,ILLINOIS,HENRY
1986,8.592504644,ILLINOIS,HENRY
1985,7.52628144,ILLINOIS,HENRY
1984,7.21268638,ILLINOIS,HENRY
1983,4.829363924,ILLINOIS,HENRY
1982,8.090752548,ILLINOIS,HENRY
1981,8.404347608,ILLINOIS,HENRY
1980,7.338124404,ILLINOIS,HENRY
2021,12.5375305,ILLINOIS,JO DAVIESS
2020,12.12358502,ILLINOIS,JO DAVIESS
2019,11.84762137,ILLINOIS,JO DAVIESS
2018,13.11454541,ILLINOIS,JO DAVIESS
2017,11.998147,ILLINOIS,JO DAVIESS
2016,12.85112556,ILLINOIS,JO DAVIESS
2015,11.490123,ILLINOIS,JO DAVIESS
2014,11.490123,ILLINOIS,JO DAVIESS
2013,11.00718661,ILLINOIS,JO DAVIESS
2012,6.108831769,ILLINOIS,JO DAVIESS
2011,10.78139816,ILLINOIS,JO DAVIESS
2010,11.09499322,ILLINOIS,JO DAVIESS
2009,10.41135599,ILLINOIS,JO DAVIESS
2008,10.22319896,ILLINOIS,JO DAVIESS
2007,11.66573623,ILLINOIS,JO DAVIESS
2006,10.41135599,ILLINOIS,JO DAVIESS
2005,10.34863698,ILLINOIS,JO DAVIESS
2004,11.10126512,ILLINOIS,JO DAVIESS
2003,9.72144686,ILLINOIS,JO DAVIESS
2002,9.784165872,ILLINOIS,JO DAVIESS
2001,9.282413776,ILLINOIS,JO DAVIESS
2000,8.592504644,ILLINOIS,JO DAVIESS
1999,8.968818716,ILLINOIS,JO DAVIESS
1998,9.909603896,ILLINOIS,JO DAVIESS
1997,8.404347608,ILLINOIS,JO DAVIESS
1996,8.341628596,ILLINOIS,JO DAVIESS
1995,7.463562428,ILLINOIS,JO DAVIESS
1994,9.156975752,ILLINOIS,JO DAVIESS
1993,5.64471108,ILLINOIS,JO DAVIESS
1992,7.777157488,ILLINOIS,JO DAVIESS
1991,7.087248356,ILLINOIS,JO DAVIESS
1990,7.965314524,ILLINOIS,JO DAVIESS
1989,7.714438476,ILLINOIS,JO DAVIESS
1988,3.261388624,ILLINOIS,JO DAVIESS
1987,7.400843416,ILLINOIS,JO DAVIESS
1986,7.965314524,ILLINOIS,JO DAVIESS
1985,7.651719464,ILLINOIS,JO DAVIESS
1984,7.400843416,ILLINOIS,JO DAVIESS
1983,4.954801948,ILLINOIS,JO DAVIESS
1982,7.52628144,ILLINOIS,JO DAVIESS
1981,7.463562428,ILLINOIS,JO DAVIESS
1980,7.149967368,ILLINOIS,JO DAVIESS
2021,12.44345198,ILLINOIS,LEE
2020,12.16748833,ILLINOIS,LEE
2019,11.37722878,ILLINOIS,LEE
2018,12.91384457,ILLINOIS,LEE
2017,13.10827351,ILLINOIS,LEE
2016,12.60024951,ILLINOIS,LEE
2015,11.81626186,ILLINOIS,LEE
2014,11.38977258,ILLINOIS,LEE
2013,10.74376676,ILLINOIS,LEE
2012,8.924915408,ILLINOIS,LEE
2011,10.71867915,ILLINOIS,LEE
2010,10.88802048,ILLINOIS,LEE
2009,10.53679402,ILLINOIS,LEE
2008,11.41486018,ILLINOIS,LEE
2007,11.41486018,ILLINOIS,LEE
2006,11.79117426,ILLINOIS,LEE
2005,8.906099704,ILLINOIS,LEE
2004,11.60301722,ILLINOIS,LEE
2003,9.533289824,ILLINOIS,LEE
2002,10.34863698,ILLINOIS,LEE
2001,10.03504192,ILLINOIS,LEE
2000,9.533289824,ILLINOIS,LEE
1999,9.4078518,ILLINOIS,LEE
1998,10.53679402,ILLINOIS,LEE
1997,7.902595512,ILLINOIS,LEE
1996,9.156975752,ILLINOIS,LEE
1995,7.777157488,ILLINOIS,LEE
1994,10.16047994,ILLINOIS,LEE
1993,7.400843416,ILLINOIS,LEE
