Year,yield(t/ha),State,County
2021,4.39488,ILLINOIS,BUREAU
2020,4.35456,ILLINOIS,BUREAU
2019,3.85728,ILLINOIS,BUREAU
2018,4.6032,ILLINOIS,BUREAU
2017,3.97152,ILLINOIS,BUREAU
2016,4.31424,ILLINOIS,BUREAU
2015,4.04544,ILLINOIS,BUREAU
2014,4.02528,ILLINOIS,BUREAU
2013,3.78336,ILLINOIS,BUREAU
2012,3.696,ILLINOIS,BUREAU
2011,3.90432,ILLINOIS,BUREAU
2010,3.696,ILLINOIS,BUREAU
2009,2.9568,ILLINOIS,BUREAU
2008,3.2928,ILLINOIS,BUREAU
2007,3.4272,ILLINOIS,BUREAU
2006,3.5616,ILLINOIS,BUREAU
2005,3.2256,ILLINOIS,BUREAU
2004,3.4272,ILLINOIS,BUREAU
2003,2.4864,ILLINOIS,BUREAU
2002,3.2928,ILLINOIS,BUREAU
2001,3.2928,ILLINOIS,BUREAU
2000,3.2256,ILLINOIS,BUREAU
1999,3.024,ILLINOIS,BUREAU
1998,3.528,ILLINOIS,BUREAU
1997,3.2592,ILLINOIS,BUREAU
1996,3.1248,ILLINOIS,BUREAU
1995,2.9232,ILLINOIS,BUREAU
1994,3.4608,ILLINOIS,BUREAU
1993,3.1248,ILLINOIS,BUREAU
1992,2.8896,ILLINOIS,BUREAU
1991,2.9904,ILLINOIS,BUREAU
1990,2.7888,ILLINOIS,BUREAU
1989,2.856,ILLINOIS,BUREAU
1988,1.9152,ILLINOIS,BUREAU
1987,3.0912,ILLINOIS,BUREAU
1986,2.9232,ILLINOIS,BUREAU
1985,3.024,ILLINOIS,BUREAU
1984,2.688,ILLINOIS,BUREAU
1983,2.8224,ILLINOIS,BUREAU
1982,2.8224,ILLINOIS,BUREAU
1981,3.024,ILLINOIS,BUREAU
1980,2.6544,ILLINOIS,BUREAU
2021,4.55616,ILLINOIS,CARROLL
2020,4.57632,ILLINOIS,CARROLL
2019,4.34784,ILLINOIS,CARROLL
2018,4.63008,ILLINOIS,CARROLL
2017,4.32096,ILLINOIS,CARROLL
2016,4.6368,ILLINOIS,CARROLL
2015,4.27392,ILLINOIS,CARROLL
2014,4.05888,ILLINOIS,CARROLL
2013,3.89088,ILLINOIS,CARROLL
2012,3.9648,ILLINOIS,CARROLL
2011,4.28064,ILLINOIS,CARROLL
2010,3.95808,ILLINOIS,CARROLL
2009,3.696,ILLINOIS,CARROLL
2008,3.2928,ILLINOIS,CARROLL
2007,3.4272,ILLINOIS,CARROLL
2006,3.8976,ILLINOIS,CARROLL
2005,3.8304,ILLINOIS,CARROLL
2004,3.7632,ILLINOIS,CARROLL
2003,2.352,ILLINOIS,CARROLL
2002,3.8304,ILLINOIS,CARROLL
2001,3.696,ILLINOIS,CARROLL
2000,3.2928,ILLINOIS,CARROLL
1999,3.6288,ILLINOIS,CARROLL
1998,3.7632,ILLINOIS,CARROLL
1997,3.3936,ILLINOIS,CARROLL
1996,3.2256,ILLINOIS,CARROLL
1995,3.4608,ILLINOIS,CARROLL
1994,3.6624,ILLINOIS,CARROLL
1993,2.7888,ILLINOIS,CARROLL
1992,2.9232,ILLINOIS,CARROLL
1991,3.528,ILLINOIS,CARROLL
1990,3.2592,ILLINOIS,CARROLL
1989,3.0912,ILLINOIS,CARROLL
1988,2.0832,ILLINOIS,CARROLL
1987,3.1584,ILLINOIS,CARROLL
1986,2.8224,ILLINOIS,CARROLL
1985,2.9904,ILLINOIS,CARROLL
1984,2.2512,ILLINOIS,CARROLL
1983,2.52,ILLINOIS,CARROLL
1982,2.6544,ILLINOIS,CARROLL
1981,2.7888,ILLINOIS,CARROLL
1980,2.4864,ILLINOIS,CARROLL
2021,4.50912,ILLINOIS,HENRY
2020,4.18656,ILLINOIS,HENRY
2019,3.53472,ILLINOIS,HENRY
2018,4.24704,ILLINOIS,HENRY
2017,3.95808,ILLINOIS,HENRY
2016,4.12608,ILLINOIS,HENRY
2015,3.99168,ILLINOIS,HENRY
2014,3.84384,ILLINOIS,HENRY
2013,3.70944,ILLINOIS,HENRY
2012,3.42048,ILLINOIS,HENRY
2011,4.07232,ILLINOIS,HENRY
2010,3.80352,ILLINOIS,HENRY
2009,3.1584,ILLINOIS,HENRY
2008,3.2928,ILLINOIS,HENRY
2007,3.4944,ILLINOIS,HENRY
2006,3.36,ILLINOIS,HENRY
2005,3.0912,ILLINOIS,HENRY
2004,3.4944,ILLINOIS,HENRY
2003,2.2176,ILLINOIS,HENRY
2002,3.5616,ILLINOIS,HENRY
2001,3.1584,ILLINOIS,HENRY
2000,3.2256,ILLINOIS,HENRY
1999,3.0912,ILLINOIS,HENRY
1998,3.6288,ILLINOIS,HENRY
1997,3.2928,ILLINOIS,HENRY
1996,3.1248,ILLINOIS,HENRY
1995,2.9904,ILLINOIS,HENRY
1994,3.4272,ILLINOIS,HENRY
1993,3.024,ILLINOIS,HENRY
1992,3.0912,ILLINOIS,HENRY
1991,2.9904,ILLINOIS,HENRY
1990,2.9568,ILLINOIS,HENRY
1989,2.9568,ILLINOIS,HENRY
