Year,State,County,Value,sta_con,yield(t/ha)
2004,alabama,dallas,32.0,alabama_dallas,2.1504
2004,alabama,lowndes,25.0,alabama_lowndes,1.68
2004,alabama,other (combined) counties,30.0,alabama_other (combined) counties,2.016
2004,alabama,perry,28.0,alabama_perry,1.8816
2004,alabama,baldwin,31.0,alabama_baldwin,2.0831999999999997
2004,alabama,escambia,33.0,alabama_escambia,2.2176
2004,alabama,monroe,34.0,alabama_monroe,2.2847999999999997
2004,alabama,other (combined) counties,27.0,alabama_other (combined) counties,1.8143999999999998
2004,alabama,calhoun,39.0,alabama_calhoun,2.6208
2004,alabama,cherokee,40.0,alabama_cherokee,2.6879999999999997
2004,alabama,cullman,42.0,alabama_cullman,2.8224
2004,alabama,de kalb,39.0,alabama_de kalb,2.6208
2004,alabama,etowah,41.0,alabama_etowah,2.7552
2004,alabama,jackson,34.0,alabama_jackson,2.2847999999999997
2004,alabama,marshall,30.0,alabama_marshall,2.016
2004,alabama,other (combined) counties,37.0,alabama_other (combined) counties,2.4863999999999997
2004,alabama,colbert,35.0,alabama_colbert,2.352
2004,alabama,franklin,30.0,alabama_franklin,2.016
2004,alabama,lauderdale,31.0,alabama_lauderdale,2.0831999999999997
2004,alabama,lawrence,36.0,alabama_lawrence,2.4192
2004,alabama,limestone,40.0,alabama_limestone,2.6879999999999997
2004,alabama,madison,35.0,alabama_madison,2.352
2004,alabama,marion,38.0,alabama_marion,2.5536
2004,alabama,morgan,33.0,alabama_morgan,2.2176
2004,alabama,fayette,37.0,alabama_fayette,2.4863999999999997
2004,alabama,other (combined) counties,29.0,alabama_other (combined) counties,1.9487999999999999
2004,alabama,talladega,37.0,alabama_talladega,2.4863999999999997
2004,alabama,tuscaloosa,44.0,alabama_tuscaloosa,2.9568
2004,alabama,covington,27.0,alabama_covington,1.8143999999999998
2004,alabama,geneva,36.0,alabama_geneva,2.4192
2004,alabama,henry,30.0,alabama_henry,2.016
2004,alabama,houston,29.0,alabama_houston,1.9487999999999999
2004,alabama,other (combined) counties,29.0,alabama_other (combined) counties,1.9487999999999999
2004,arkansas,conway,34.0,arkansas_conway,2.2847999999999997
2004,arkansas,faulkner,33.0,arkansas_faulkner,2.2176
2004,arkansas,other (combined) counties,33.0,arkansas_other (combined) counties,2.2176
2004,arkansas,pulaski,38.0,arkansas_pulaski,2.5536
2004,arkansas,arkansas,46.0,arkansas_arkansas,3.0911999999999997
2004,arkansas,crittenden,38.0,arkansas_crittenden,2.5536
2004,arkansas,cross,42.0,arkansas_cross,2.8224
2004,arkansas,lee,38.0,arkansas_lee,2.5536
2004,arkansas,lonoke,37.0,arkansas_lonoke,2.4863999999999997
2004,arkansas,monroe,37.0,arkansas_monroe,2.4863999999999997
2004,arkansas,phillips,41.0,arkansas_phillips,2.7552
2004,arkansas,prairie,43.0,arkansas_prairie,2.8895999999999997
2004,arkansas,saint francis,39.0,arkansas_saint francis,2.6208
2004,arkansas,woodruff,35.0,arkansas_woodruff,2.352
2004,arkansas,clay,40.0,arkansas_clay,2.6879999999999997
2004,arkansas,craighead,40.0,arkansas_craighead,2.6879999999999997
2004,arkansas,greene,39.0,arkansas_greene,2.6208
2004,arkansas,independence,34.0,arkansas_independence,2.2847999999999997
2004,arkansas,jackson,34.0,arkansas_jackson,2.2847999999999997
2004,arkansas,lawrence,37.0,arkansas_lawrence,2.4863999999999997
2004,arkansas,mississippi,43.0,arkansas_mississippi,2.8895999999999997
2004,arkansas,poinsett,42.0,arkansas_poinsett,2.8224
2004,arkansas,randolph,41.0,arkansas_randolph,2.7552
2004,arkansas,white,33.0,arkansas_white,2.2176
2004,arkansas,clark,33.0,arkansas_clark,2.2176
2004,arkansas,other (combined) counties,26.0,arkansas_other (combined) counties,1.7471999999999999
2004,arkansas,ashley,36.0,arkansas_ashley,2.4192
2004,arkansas,chicot,39.0,arkansas_chicot,2.6208
2004,arkansas,desha,40.0,arkansas_desha,2.6879999999999997
2004,arkansas,drew,38.0,arkansas_drew,2.5536
2004,arkansas,jefferson,34.0,arkansas_jefferson,2.2847999999999997
2004,arkansas,lincoln,38.0,arkansas_lincoln,2.5536
2004,arkansas,lafayette,37.0,arkansas_lafayette,2.4863999999999997
2004,arkansas,little river,35.0,arkansas_little river,2.352
2004,arkansas,miller,38.0,arkansas_miller,2.5536
2004,arkansas,other (combined) counties,31.0,arkansas_other (combined) counties,2.0831999999999997
2004,arkansas,crawford,34.0,arkansas_crawford,2.2847999999999997
2004,arkansas,franklin,35.0,arkansas_franklin,2.352
2004,arkansas,johnson,35.0,arkansas_johnson,2.352
2004,arkansas,logan,40.0,arkansas_logan,2.6879999999999997
2004,arkansas,pope,35.0,arkansas_pope,2.352
2004,arkansas,sebastian,34.0,arkansas_sebastian,2.2847999999999997
2004,arkansas,yell,34.0,arkansas_yell,2.2847999999999997
2004,delaware,kent,43.5,delaware_kent,2.9232
2004,delaware,new castle,38.5,delaware_new castle,2.5871999999999997
2004,delaware,sussex,43.0,delaware_sussex,2.8895999999999997
2004,florida,madison,30.0,florida_madison,2.016
2004,florida,other (combined) counties,26.0,florida_other (combined) counties,1.7471999999999999
2004,florida,suwannee,31.0,florida_suwannee,2.0831999999999997
2004,florida,calhoun,34.0,florida_calhoun,2.2847999999999997
2004,florida,escambia,36.0,florida_escambia,2.4192
2004,florida,gadsden,32.0,florida_gadsden,2.1504
2004,florida,holmes,33.0,florida_holmes,2.2176
2004,florida,jackson,35.0,florida_jackson,2.352
2004,florida,jefferson,35.0,florida_jefferson,2.352
2004,florida,other (combined) counties,29.0,florida_other (combined) counties,1.9487999999999999
2004,florida,santa rosa,42.0,florida_santa rosa,2.8224
2004,florida,washington,39.0,florida_washington,2.6208
2004,georgia,bleckley,29.0,georgia_bleckley,1.9487999999999999
2004,georgia,dodge,33.0,georgia_dodge,2.2176
2004,georgia,houston,26.0,georgia_houston,1.7471999999999999
2004,georgia,johnson,24.0,georgia_johnson,1.6128
2004,georgia,laurens,25.0,georgia_laurens,1.68
2004,georgia,montgomery,29.0,georgia_montgomery,1.9487999999999999
2004,georgia,other (combined) counties,26.0,georgia_other (combined) counties,1.7471999999999999
2004,georgia,peach,26.0,georgia_peach,1.7471999999999999
2004,georgia,pulaski,29.0,georgia_pulaski,1.9487999999999999
2004,georgia,treutlen,25.0,georgia_treutlen,1.68
2004,georgia,washington,27.0,georgia_washington,1.8143999999999998
2004,georgia,wheeler,36.0,georgia_wheeler,2.4192
2004,georgia,bulloch,31.0,georgia_bulloch,2.0831999999999997
2004,georgia,burke,34.0,georgia_burke,2.2847999999999997
2004,georgia,candler,33.0,georgia_candler,2.2176
2004,georgia,effingham,33.0,georgia_effingham,2.2176
2004,georgia,emanuel,31.0,georgia_emanuel,2.0831999999999997
2004,georgia,jefferson,28.0,georgia_jefferson,1.8816
