sta_con,Longitude,Latitude
alabama_autauga,-86.6429097,32.53552334
alabama_baldwin,-87.72492398,30.73626698
alabama_barbour,-85.39544329,31.86979843
alabama_bibb,-87.12638405,32.99864618
alabama_blount,-86.56797447,33.98158274
alabama_bullock,-85.7161886,32.1010799
alabama_butler,-86.68008326,31.75290566
alabama_calhoun,-85.82650941,33.77161833
alabama_chambers,-85.39279253,32.9147455
alabama_cherokee,-85.60383273,34.17592267
alabama_chilton,-86.71917408,32.84778061
alabama_choctaw,-88.26291027,32.01986395
alabama_clarke,-87.83080817,31.67704784
alabama_clay,-85.8605748,33.26918968
alabama_cleburne,-85.51883671,33.67493601
alabama_coffee,-85.98768972,31.4027807
alabama_colbert,-87.80552195,34.70078424
alabama_conecuh,-86.99359115,31.42951023
alabama_coosa,-86.24836176,32.93645414
alabama_covington,-86.45086249,31.24925342
alabama_crenshaw,-86.31346974,31.73141173
alabama_cullman,-86.86826378,34.13239943
alabama_dale,-85.6106619,31.43292345
alabama_dallas,-87.10646908,32.32710398
alabama_de kalb,-85.80384241,34.45994103
alabama_elmore,-86.14884765,32.59750033
alabama_escambia,-87.16133281,31.12731655
alabama_etowah,-86.03483242,34.0449578
alabama_fayette,-87.73870549,33.72148923
alabama_franklin,-87.84360007,34.44195302
alabama_geneva,-85.83796533,31.0954116
alabama_greene,-87.95157868,32.8535406
alabama_hale,-87.62859426,32.76355365
alabama_henry,-85.24316215,31.51525413
alabama_houston,-85.30456688,31.15385909
alabama_jackson,-85.99952249,34.78002186
alabama_jefferson,-86.89639247,33.55459592
alabama_lamar,-88.09638475,33.77939341
alabama_lauderdale,-87.65340121,34.90225116
alabama_lawrence,-87.31091271,34.52233688
alabama_lee,-85.35557218,32.60146816
alabama_limestone,-86.98134007,34.81035238
alabama_lowndes,-86.64990242,32.15492823
alabama_macon,-85.69247114,32.38650003
alabama_madison,-86.55053338,34.76351985
alabama_marengo,-87.78935785,32.24801738
alabama_marion,-87.88637001,34.13684926
alabama_marshall,-86.3063747,34.36715854
alabama_mobile,-88.20642373,30.78896697
alabama_monroe,-87.36547214,31.57116378
alabama_montgomery,-86.207939,32.22136493
alabama_morgan,-86.85265918,34.45372467
alabama_perry,-87.2944493,32.63954099
alabama_pickens,-88.08773025,33.28145437
alabama_pike,-85.94163751,31.80266934
alabama_randolph,-85.45981002,33.29433254
alabama_russell,-85.18675561,32.2891757
alabama_saint clair,-86.31599608,33.71646544
alabama_shelby,-86.66194315,33.26460877
alabama_sumter,-88.19775551,32.59087578
alabama_talladega,-86.16756913,33.38019388
alabama_tallapoosa,-85.79742041,32.86259011
alabama_tuscaloosa,-87.52480955,33.28988135
alabama_walker,-87.2971682,33.80360297
alabama_washington,-88.20776743,31.40797527
alabama_wilcox,-87.30827093,31.98990021
alabama_winston,-87.37353907,34.14947533
alaska_aleutians east,-162.0601135,55.32468313
alaska_aleutians west,-108.7662161,52.81034121
alaska_anchorage,-149.1091966,61.14968034
alaska_bethel,-159.7172273,60.91904653
alaska_bristol bay,-156.7041411,58.74314021
alaska_denali,-150.2034507,63.65968339
alaska_dillingham,-158.2204907,59.80044359
alaska_fairbanks north star,-146.5635348,64.80816512
alaska_haines,-135.5019746,59.12301423
alaska_juneau,-134.1807491,58.46192723
alaska_kenai peninsula,-151.5775429,60.26737046
alaska_ketchikan gateway,-131.3800421,55.56533048
alaska_kodiak island,-153.8050633,57.67830778
alaska_lake and peninsula,-156.2143945,58.6394893
alaska_matanuska-susitna,-149.5690353,62.31669165
alaska_nome,-163.9410941,64.90070839
alaska_north slope,-153.390953,69.29711176
alaska_northwest arctic,-159.694332,67.06048676
alaska_prince of wales-outer ketchi,-131.7815415,55.55417051
alaska_sitka,-135.3043345,57.23364463
alaska_skagway-yakutat-angoon,-136.8694844,58.82718259
alaska_southeast fairbanks,-143.3642121,63.87176839
alaska_valdez-cordova,-144.2794106,61.46630881
alaska_wade hampton,-163.3691302,62.1541838
alaska_wrangell-petersburg,-132.7212125,56.60856555
alaska_yukon-koyukuk,-151.4201204,65.50019045
arizona_apache,-109.4876458,35.39719134
arizona_cochise,-109.7494557,31.878074
arizona_coconino,-111.7702509,35.83997997
arizona_gila,-110.8124911,33.80149081
arizona_graham,-109.8870177,32.93318502
arizona_greenlee,-109.2393605,33.21583299
arizona_la paz,-113.9807786,33.73033021
arizona_maricopa,-112.4900993,33.34905562
arizona_mohave,-113.7575994,35.70653351
arizona_navajo,-110.3202171,35.39898535
arizona_pima,-111.7869841,32.09702569
arizona_pinal,-111.3436722,32.90492377
arizona_santa cruz,-110.8443,31.52437481
arizona_yavapai,-112.5529898,34.60034435
arizona_yuma,-113.9040603,32.77089826
arkansas_arkansas,-91.37417219,34.29118901
arkansas_ashley,-91.76733819,33.191078
arkansas_baxter,-92.33828288,36.2853949
arkansas_benton,-94.25827739,36.33956084
arkansas_boone,-93.09268165,36.30822048
arkansas_bradley,-92.1620748,33.46598451
arkansas_calhoun,-92.5034815,33.55746854
arkansas_carroll,-93.54083181,36.34016427
arkansas_chicot,-91.29369391,33.2675778
arkansas_clark,-93.17643111,34.05109231
arkansas_clay,-90.41743511,36.36741084
arkansas_cleburne,-92.02616037,35.53811345
arkansas_cleveland,-92.18588846,33.89763714
arkansas_columbia,-93.22738257,33.21396609
arkansas_conway,-92.70150498,35.2614137
arkansas_craighead,-90.63160633,35.8309112
arkansas_crawford,-94.24370876,35.5882601
arkansas_crittenden,-90.30850762,35.20753962
arkansas_cross,-90.77074815,35.29599536
arkansas_dallas,-92.65401332,33.96955562
arkansas_desha,-91.25372437,33.83282938
arkansas_drew,-91.71953779,33.58848478
arkansas_faulkner,-92.33169248,35.14689053
arkansas_franklin,-93.89001617,35.51265235
arkansas_fulton,-91.81797121,36.38093652
