Year,State,County,Domain Category,sta_con,maize area
1997,alabama,autauga,NOT SPECIFIED,alabama_autauga,1445.0
1997,alabama,bullock,NOT SPECIFIED,alabama_bullock,603.0
1997,alabama,dallas,NOT SPECIFIED,alabama_dallas,4104.0
1997,alabama,elmore,NOT SPECIFIED,alabama_elmore,2247.0
1997,alabama,greene,NOT SPECIFIED,alabama_greene,1496.0
1997,alabama,hale,NOT SPECIFIED,alabama_hale,1209.0
1997,alabama,lowndes,NOT SPECIFIED,alabama_lowndes,2597.0
1997,alabama,macon,NOT SPECIFIED,alabama_macon,1070.0
1997,alabama,marengo,NOT SPECIFIED,alabama_marengo,898.0
1997,alabama,montgomery,NOT SPECIFIED,alabama_montgomery,1161.0
1997,alabama,perry,NOT SPECIFIED,alabama_perry,1666.0
1997,alabama,sumter,NOT SPECIFIED,alabama_sumter,983.0
1997,alabama,baldwin,NOT SPECIFIED,alabama_baldwin,8666.0
1997,alabama,butler,NOT SPECIFIED,alabama_butler,2647.0
1997,alabama,choctaw,NOT SPECIFIED,alabama_choctaw,284.0
1997,alabama,clarke,NOT SPECIFIED,alabama_clarke,446.0
1997,alabama,conecuh,NOT SPECIFIED,alabama_conecuh,3499.0
1997,alabama,escambia,NOT SPECIFIED,alabama_escambia,4944.0
1997,alabama,mobile,NOT SPECIFIED,alabama_mobile,2993.0
1997,alabama,monroe,NOT SPECIFIED,alabama_monroe,3517.0
1997,alabama,washington,NOT SPECIFIED,alabama_washington,3336.0
1997,alabama,wilcox,NOT SPECIFIED,alabama_wilcox,2765.0
1997,alabama,blount,NOT SPECIFIED,alabama_blount,1779.0
1997,alabama,calhoun,NOT SPECIFIED,alabama_calhoun,1971.0
1997,alabama,cherokee,NOT SPECIFIED,alabama_cherokee,2317.0
1997,alabama,cleburne,NOT SPECIFIED,alabama_cleburne,873.0
1997,alabama,cullman,NOT SPECIFIED,alabama_cullman,4475.0
1997,alabama,de kalb,NOT SPECIFIED,alabama_de kalb,16832.0
1997,alabama,etowah,NOT SPECIFIED,alabama_etowah,1687.0
1997,alabama,jackson,NOT SPECIFIED,alabama_jackson,23502.0
1997,alabama,marshall,NOT SPECIFIED,alabama_marshall,7474.0
1997,alabama,saint clair,NOT SPECIFIED,alabama_saint clair,157.0
1997,alabama,colbert,NOT SPECIFIED,alabama_colbert,4743.0
1997,alabama,franklin,NOT SPECIFIED,alabama_franklin,1294.0
1997,alabama,lauderdale,NOT SPECIFIED,alabama_lauderdale,7360.0
1997,alabama,lawrence,NOT SPECIFIED,alabama_lawrence,8216.0
1997,alabama,limestone,NOT SPECIFIED,alabama_limestone,8815.0
1997,alabama,madison,NOT SPECIFIED,alabama_madison,15803.0
1997,alabama,marion,NOT SPECIFIED,alabama_marion,3937.0
1997,alabama,morgan,NOT SPECIFIED,alabama_morgan,6681.0
1997,alabama,winston,NOT SPECIFIED,alabama_winston,128.0
1997,alabama,bibb,NOT SPECIFIED,alabama_bibb,71.0
1997,alabama,chambers,NOT SPECIFIED,alabama_chambers,167.0
1997,alabama,chilton,NOT SPECIFIED,alabama_chilton,820.0
1997,alabama,clay,NOT SPECIFIED,alabama_clay,253.0
1997,alabama,coosa,NOT SPECIFIED,alabama_coosa,127.0
1997,alabama,fayette,NOT SPECIFIED,alabama_fayette,2552.0
1997,alabama,jefferson,NOT SPECIFIED,alabama_jefferson,37.0
1997,alabama,lamar,NOT SPECIFIED,alabama_lamar,1865.0
1997,alabama,lee,NOT SPECIFIED,alabama_lee,174.0
1997,alabama,pickens,NOT SPECIFIED,alabama_pickens,2959.0
1997,alabama,randolph,NOT SPECIFIED,alabama_randolph,694.0
1997,alabama,shelby,NOT SPECIFIED,alabama_shelby,370.0
1997,alabama,talladega,NOT SPECIFIED,alabama_talladega,7470.0
1997,alabama,tallapoosa,NOT SPECIFIED,alabama_tallapoosa,401.0
1997,alabama,tuscaloosa,NOT SPECIFIED,alabama_tuscaloosa,5062.0
1997,alabama,walker,NOT SPECIFIED,alabama_walker,95.0
1997,alabama,barbour,NOT SPECIFIED,alabama_barbour,3256.0
