Year,State,County,Domain Category,sta_con,irrigated cropland area
1997,alabama,autauga,NOT SPECIFIED,alabama_autauga,1264.6666666666667
1997,alabama,bullock,NOT SPECIFIED,alabama_bullock,456.0
1997,alabama,dallas,NOT SPECIFIED,alabama_dallas,3276.25
1997,alabama,elmore,NOT SPECIFIED,alabama_elmore,882.0
1997,alabama,greene,NOT SPECIFIED,alabama_greene,152.0
1997,alabama,hale,NOT SPECIFIED,alabama_hale,1657.5500532481365
1997,alabama,lowndes,NOT SPECIFIED,alabama_lowndes,3516.0
1997,alabama,macon,NOT SPECIFIED,alabama_macon,3108.0
1997,alabama,marengo,NOT SPECIFIED,alabama_marengo,136.5
1997,alabama,montgomery,NOT SPECIFIED,alabama_montgomery,544.0
1997,alabama,perry,NOT SPECIFIED,alabama_perry,10.0
1997,alabama,sumter,NOT SPECIFIED,alabama_sumter,379.0
1997,alabama,baldwin,NOT SPECIFIED,alabama_baldwin,9570.666666666666
1997,alabama,butler,NOT SPECIFIED,alabama_butler,47.5
1997,alabama,clarke,NOT SPECIFIED,alabama_clarke,44.666666666666664
1997,alabama,conecuh,NOT SPECIFIED,alabama_conecuh,40.0
1997,alabama,escambia,NOT SPECIFIED,alabama_escambia,924.0
1997,alabama,mobile,NOT SPECIFIED,alabama_mobile,1889.0
1997,alabama,monroe,NOT SPECIFIED,alabama_monroe,1532.0
1997,alabama,washington,NOT SPECIFIED,alabama_washington,47.0
1997,alabama,wilcox,NOT SPECIFIED,alabama_wilcox,63.0
1997,alabama,blount,NOT SPECIFIED,alabama_blount,615.3333333333334
1997,alabama,calhoun,NOT SPECIFIED,alabama_calhoun,1181.5
1997,alabama,cherokee,NOT SPECIFIED,alabama_cherokee,829.0
1997,alabama,cleburne,NOT SPECIFIED,alabama_cleburne,254.66666666666666
1997,alabama,cullman,NOT SPECIFIED,alabama_cullman,536.0
1997,alabama,de kalb,NOT SPECIFIED,alabama_de kalb,472.0
1997,alabama,etowah,NOT SPECIFIED,alabama_etowah,319.5
1997,alabama,jackson,NOT SPECIFIED,alabama_jackson,740.0
1997,alabama,marshall,NOT SPECIFIED,alabama_marshall,144.0
1997,alabama,saint clair,NOT SPECIFIED,alabama_saint clair,2178.0
1997,alabama,colbert,NOT SPECIFIED,alabama_colbert,2282.0
1997,alabama,franklin,NOT SPECIFIED,alabama_franklin,418.3333333333333
1997,alabama,lauderdale,NOT SPECIFIED,alabama_lauderdale,256.0
1997,alabama,lawrence,NOT SPECIFIED,alabama_lawrence,3569.6666666666665
1997,alabama,limestone,NOT SPECIFIED,alabama_limestone,8772.0
1997,alabama,madison,NOT SPECIFIED,alabama_madison,7200.333333333333
1997,alabama,marion,NOT SPECIFIED,alabama_marion,48.5
1997,alabama,morgan,NOT SPECIFIED,alabama_morgan,438.25
1997,alabama,winston,NOT SPECIFIED,alabama_winston,91.0
1997,alabama,bibb,NOT SPECIFIED,alabama_bibb,79.0
1997,alabama,chambers,NOT SPECIFIED,alabama_chambers,209.0
1997,alabama,chilton,NOT SPECIFIED,alabama_chilton,717.0
1997,alabama,clay,NOT SPECIFIED,alabama_clay,16.0
1997,alabama,coosa,NOT SPECIFIED,alabama_coosa,1657.5500532481365
1997,alabama,fayette,NOT SPECIFIED,alabama_fayette,232.5
1997,alabama,jefferson,NOT SPECIFIED,alabama_jefferson,175.0
1997,alabama,lamar,NOT SPECIFIED,alabama_lamar,192.0
1997,alabama,lee,NOT SPECIFIED,alabama_lee,607.5
1997,alabama,pickens,NOT SPECIFIED,alabama_pickens,1657.5500532481365
1997,alabama,randolph,NOT SPECIFIED,alabama_randolph,169.0
1997,alabama,shelby,NOT SPECIFIED,alabama_shelby,1809.25
1997,alabama,talladega,NOT SPECIFIED,alabama_talladega,790.0
1997,alabama,tallapoosa,NOT SPECIFIED,alabama_tallapoosa,223.0
1997,alabama,tuscaloosa,NOT SPECIFIED,alabama_tuscaloosa,568.0
1997,alabama,walker,NOT SPECIFIED,alabama_walker,216.0
1997,alabama,barbour,NOT SPECIFIED,alabama_barbour,3606.5
1997,alabama,coffee,NOT SPECIFIED,alabama_coffee,1771.0
1997,alabama,covington,NOT SPECIFIED,alabama_covington,1378.0
1997,alabama,crenshaw,NOT SPECIFIED,alabama_crenshaw,1812.0
1997,alabama,dale,NOT SPECIFIED,alabama_dale,2755.5
1997,alabama,geneva,NOT SPECIFIED,alabama_geneva,6142.0
1997,alabama,henry,NOT SPECIFIED,alabama_henry,1657.5500532481365
1997,alabama,houston,NOT SPECIFIED,alabama_houston,10231.75
1997,alabama,pike,NOT SPECIFIED,alabama_pike,3096.0
1997,alabama,russell,NOT SPECIFIED,alabama_russell,3056.0
1997,alaska,kenai peninsula,NOT SPECIFIED,alaska_kenai peninsula,13.0
1997,alaska,anchorage,NOT SPECIFIED,alaska_anchorage,1352.0
1997,alaska,juneau,NOT SPECIFIED,alaska_juneau,16.5
1997,alaska,aleutian islands,NOT SPECIFIED,alaska_aleutian islands,12.0
1997,alaska,fairbanks north star,NOT SPECIFIED,alaska_fairbanks north star,1278.0
1997,arizona,apache,NOT SPECIFIED,arizona_apache,5347.0
1997,arizona,coconino,NOT SPECIFIED,arizona_coconino,1198.0
1997,arizona,gila,NOT SPECIFIED,arizona_gila,384.0
1997,arizona,mohave,NOT SPECIFIED,arizona_mohave,14993.0
1997,arizona,navajo,NOT SPECIFIED,arizona_navajo,5189.0
1997,arizona,yavapai,NOT SPECIFIED,arizona_yavapai,5404.0
1997,arizona,cochise,NOT SPECIFIED,arizona_cochise,52945.0
1997,arizona,graham,NOT SPECIFIED,arizona_graham,40604.0
1997,arizona,greenlee,NOT SPECIFIED,arizona_greenlee,3283.0
1997,arizona,lapaz,NOT SPECIFIED,arizona_lapaz,115965.0
1997,arizona,maricopa,NOT SPECIFIED,arizona_maricopa,304910.0
1997,arizona,pima,NOT SPECIFIED,arizona_pima,27472.0
1997,arizona,pinal,NOT SPECIFIED,arizona_pinal,235220.0
1997,arizona,santa cruz,NOT SPECIFIED,arizona_santa cruz,735.0
1997,arizona,yuma,NOT SPECIFIED,arizona_yuma,206973.0
1997,arkansas,conway,NOT SPECIFIED,arkansas_conway,6620.0
1997,arkansas,faulkner,NOT SPECIFIED,arkansas_faulkner,6641.0
1997,arkansas,garland,NOT SPECIFIED,arkansas_garland,109.33333333333333
1997,arkansas,grant,NOT SPECIFIED,arkansas_grant,13.0
1997,arkansas,hot spring,NOT SPECIFIED,arkansas_hot spring,261.5
1997,arkansas,perry,NOT SPECIFIED,arkansas_perry,5024.0
1997,arkansas,pulaski,NOT SPECIFIED,arkansas_pulaski,20816.0
1997,arkansas,saline,NOT SPECIFIED,arkansas_saline,229.5
1997,arkansas,arkansas,NOT SPECIFIED,arkansas_arkansas,310604.0
1997,arkansas,crittenden,NOT SPECIFIED,arkansas_crittenden,158873.5
1997,arkansas,cross,NOT SPECIFIED,arkansas_cross,213566.5
1997,arkansas,lee,NOT SPECIFIED,arkansas_lee,102609.0
1997,arkansas,lonoke,NOT SPECIFIED,arkansas_lonoke,210775.0
1997,arkansas,monroe,NOT SPECIFIED,arkansas_monroe,179636.0
1997,arkansas,phillips,NOT SPECIFIED,arkansas_phillips,131433.0
1997,arkansas,prairie,NOT SPECIFIED,arkansas_prairie,175674.5
1997,arkansas,saint francis,NOT SPECIFIED,arkansas_saint francis,171553.5
1997,arkansas,woodruff,NOT SPECIFIED,arkansas_woodruff,158480.0
1997,arkansas,baxter,NOT SPECIFIED,arkansas_baxter,45.333333333333336
1997,arkansas,cleburne,NOT SPECIFIED,arkansas_cleburne,449.5
1997,arkansas,fulton,NOT SPECIFIED,arkansas_fulton,191.0
1997,arkansas,izard,NOT SPECIFIED,arkansas_izard,195.0
1997,arkansas,marion,NOT SPECIFIED,arkansas_marion,28.0
1997,arkansas,searcy,NOT SPECIFIED,arkansas_searcy,50.333333333333336
1997,arkansas,sharp,NOT SPECIFIED,arkansas_sharp,122.5
1997,arkansas,stone,NOT SPECIFIED,arkansas_stone,159.5
1997,arkansas,van buren,NOT SPECIFIED,arkansas_van buren,144.0
1997,arkansas,clay,NOT SPECIFIED,arkansas_clay,214196.0
1997,arkansas,craighead,NOT SPECIFIED,arkansas_craighead,227575.0
1997,arkansas,greene,NOT SPECIFIED,arkansas_greene,153152.33333333334
1997,arkansas,independence,NOT SPECIFIED,arkansas_independence,26469.666666666668
1997,arkansas,jackson,NOT SPECIFIED,arkansas_jackson,57631.80962059621
1997,arkansas,lawrence,NOT SPECIFIED,arkansas_lawrence,130616.5
1997,arkansas,mississippi,NOT SPECIFIED,arkansas_mississippi,169017.0
1997,arkansas,poinsett,NOT SPECIFIED,arkansas_poinsett,279534.5
1997,arkansas,randolph,NOT SPECIFIED,arkansas_randolph,55523.666666666664
1997,arkansas,white,NOT SPECIFIED,arkansas_white,51171.0
1997,arkansas,benton,NOT SPECIFIED,arkansas_benton,521.0
1997,arkansas,boone,NOT SPECIFIED,arkansas_boone,161.0
1997,arkansas,carroll,NOT SPECIFIED,arkansas_carroll,127.66666666666667
1997,arkansas,madison,NOT SPECIFIED,arkansas_madison,575.0
1997,arkansas,newton,NOT SPECIFIED,arkansas_newton,25.0
1997,arkansas,washington,NOT SPECIFIED,arkansas_washington,785.0
1997,arkansas,bradley,NOT SPECIFIED,arkansas_bradley,699.6666666666666
1997,arkansas,calhoun,NOT SPECIFIED,arkansas_calhoun,94.0
1997,arkansas,clark,NOT SPECIFIED,arkansas_clark,459.5
1997,arkansas,cleveland,NOT SPECIFIED,arkansas_cleveland,13.0
1997,arkansas,columbia,NOT SPECIFIED,arkansas_columbia,133.0
1997,arkansas,dallas,NOT SPECIFIED,arkansas_dallas,4.0
1997,arkansas,nevada,NOT SPECIFIED,arkansas_nevada,63.666666666666664
1997,arkansas,ouachita,NOT SPECIFIED,arkansas_ouachita,18.0
1997,arkansas,union,NOT SPECIFIED,arkansas_union,30.333333333333332
1997,arkansas,ashley,NOT SPECIFIED,arkansas_ashley,95726.0
1997,arkansas,chicot,NOT SPECIFIED,arkansas_chicot,118172.0
1997,arkansas,desha,NOT SPECIFIED,arkansas_desha,165061.0
1997,arkansas,drew,NOT SPECIFIED,arkansas_drew,58187.5
1997,arkansas,jefferson,NOT SPECIFIED,arkansas_jefferson,196395.33333333334
1997,arkansas,lincoln,NOT SPECIFIED,arkansas_lincoln,99378.0
1997,arkansas,hempstead,NOT SPECIFIED,arkansas_hempstead,490.0
1997,arkansas,howard,NOT SPECIFIED,arkansas_howard,824.0
1997,arkansas,lafayette,NOT SPECIFIED,arkansas_lafayette,17333.666666666668
1997,arkansas,little river,NOT SPECIFIED,arkansas_little river,701.0
1997,arkansas,miller,NOT SPECIFIED,arkansas_miller,4158.0
1997,arkansas,montgomery,NOT SPECIFIED,arkansas_montgomery,104.0
1997,arkansas,pike,NOT SPECIFIED,arkansas_pike,462.0
1997,arkansas,sevier,NOT SPECIFIED,arkansas_sevier,777.0
1997,arkansas,crawford,NOT SPECIFIED,arkansas_crawford,4010.0
1997,arkansas,franklin,NOT SPECIFIED,arkansas_franklin,315.0
1997,arkansas,johnson,NOT SPECIFIED,arkansas_johnson,1603.0
1997,arkansas,logan,NOT SPECIFIED,arkansas_logan,883.0
1997,arkansas,polk,NOT SPECIFIED,arkansas_polk,190.0
1997,arkansas,pope,NOT SPECIFIED,arkansas_pope,1745.0
1997,arkansas,scott,NOT SPECIFIED,arkansas_scott,10.0
1997,arkansas,sebastian,NOT SPECIFIED,arkansas_sebastian,725.0
1997,arkansas,yell,NOT SPECIFIED,arkansas_yell,4425.0
1997,california,alameda,NOT SPECIFIED,california_alameda,8442.0
1997,california,contra costa,NOT SPECIFIED,california_contra costa,25066.0
1997,california,lake,NOT SPECIFIED,california_lake,13604.0
1997,california,marin,NOT SPECIFIED,california_marin,1896.25
1997,california,monterey,NOT SPECIFIED,california_monterey,259096.0
1997,california,napa,NOT SPECIFIED,california_napa,42880.0
1997,california,san benito,NOT SPECIFIED,california_san benito,33261.0
1997,california,san francisco,NOT SPECIFIED,california_san francisco,19.0
