Year,State,County,Domain Category,sta_con,irrigated soybean area
1997,alabama,autauga,NOT SPECIFIED,alabama_autauga,839.9510869565217
1997,alabama,dallas,NOT SPECIFIED,alabama_dallas,474.5
1997,alabama,sumter,NOT SPECIFIED,alabama_sumter,839.9510869565217
1997,alabama,baldwin,NOT SPECIFIED,alabama_baldwin,980.0
1997,alabama,cherokee,NOT SPECIFIED,alabama_cherokee,839.9510869565217
1997,alabama,colbert,NOT SPECIFIED,alabama_colbert,839.9510869565217
1997,alabama,lawrence,NOT SPECIFIED,alabama_lawrence,1256.3333333333333
1997,alabama,limestone,NOT SPECIFIED,alabama_limestone,1523.0
1997,alabama,madison,NOT SPECIFIED,alabama_madison,2030.0
1997,alabama,lamar,NOT SPECIFIED,alabama_lamar,839.9510869565217
1997,alabama,tuscaloosa,NOT SPECIFIED,alabama_tuscaloosa,240.0
1997,alabama,coffee,NOT SPECIFIED,alabama_coffee,839.9510869565217
1997,alabama,henry,NOT SPECIFIED,alabama_henry,240.0
1997,alabama,houston,NOT SPECIFIED,alabama_houston,130.0
1997,arkansas,conway,NOT SPECIFIED,arkansas_conway,4197.0
1997,arkansas,faulkner,NOT SPECIFIED,arkansas_faulkner,676.0
1997,arkansas,hot spring,NOT SPECIFIED,arkansas_hot spring,51422.746212121216
1997,arkansas,perry,NOT SPECIFIED,arkansas_perry,1745.0
1997,arkansas,pulaski,NOT SPECIFIED,arkansas_pulaski,12824.0
1997,arkansas,arkansas,NOT SPECIFIED,arkansas_arkansas,177895.0
1997,arkansas,crittenden,NOT SPECIFIED,arkansas_crittenden,46620.0
1997,arkansas,cross,NOT SPECIFIED,arkansas_cross,118305.0
1997,arkansas,lee,NOT SPECIFIED,arkansas_lee,50353.0
1997,arkansas,lonoke,NOT SPECIFIED,arkansas_lonoke,106128.0
1997,arkansas,monroe,NOT SPECIFIED,arkansas_monroe,61414.0
1997,arkansas,phillips,NOT SPECIFIED,arkansas_phillips,54284.0
1997,arkansas,prairie,NOT SPECIFIED,arkansas_prairie,101724.0
1997,arkansas,saint francis,NOT SPECIFIED,arkansas_saint francis,50867.0
1997,arkansas,woodruff,NOT SPECIFIED,arkansas_woodruff,80159.0
1997,arkansas,clay,NOT SPECIFIED,arkansas_clay,71861.0
1997,arkansas,craighead,NOT SPECIFIED,arkansas_craighead,65122.0
1997,arkansas,greene,NOT SPECIFIED,arkansas_greene,40209.0
1997,arkansas,independence,NOT SPECIFIED,arkansas_independence,5335.0
1997,arkansas,jackson,NOT SPECIFIED,arkansas_jackson,65368.0
1997,arkansas,lawrence,NOT SPECIFIED,arkansas_lawrence,37963.0
1997,arkansas,mississippi,NOT SPECIFIED,arkansas_mississippi,59072.0
1997,arkansas,poinsett,NOT SPECIFIED,arkansas_poinsett,107475.0
1997,arkansas,randolph,NOT SPECIFIED,arkansas_randolph,14415.0
1997,arkansas,white,NOT SPECIFIED,arkansas_white,22215.0
1997,arkansas,clark,NOT SPECIFIED,arkansas_clark,1142.0
1997,arkansas,ashley,NOT SPECIFIED,arkansas_ashley,23208.0
1997,arkansas,chicot,NOT SPECIFIED,arkansas_chicot,50913.0
1997,arkansas,desha,NOT SPECIFIED,arkansas_desha,52675.0
1997,arkansas,drew,NOT SPECIFIED,arkansas_drew,12399.0
1997,arkansas,jefferson,NOT SPECIFIED,arkansas_jefferson,51885.0
1997,arkansas,lincoln,NOT SPECIFIED,arkansas_lincoln,35757.0
1997,arkansas,hempstead,NOT SPECIFIED,arkansas_hempstead,51422.746212121216
1997,arkansas,lafayette,NOT SPECIFIED,arkansas_lafayette,4330.0
1997,arkansas,little river,NOT SPECIFIED,arkansas_little river,3484.5
1997,arkansas,miller,NOT SPECIFIED,arkansas_miller,998.0
1997,arkansas,crawford,NOT SPECIFIED,arkansas_crawford,2081.0
1997,arkansas,franklin,NOT SPECIFIED,arkansas_franklin,461.0
1997,arkansas,johnson,NOT SPECIFIED,arkansas_johnson,1010.0
1997,arkansas,logan,NOT SPECIFIED,arkansas_logan,460.0
1997,arkansas,pope,NOT SPECIFIED,arkansas_pope,985.0
1997,arkansas,yell,NOT SPECIFIED,arkansas_yell,2395.0
1997,delaware,kent,NOT SPECIFIED,delaware_kent,4015.0
1997,delaware,new castle,NOT SPECIFIED,delaware_new castle,448.0
1997,delaware,sussex,NOT SPECIFIED,delaware_sussex,14451.0
1997,florida,madison,NOT SPECIFIED,florida_madison,381.0
1997,florida,suwannee,NOT SPECIFIED,florida_suwannee,180.0
1997,florida,calhoun,NOT SPECIFIED,florida_calhoun,515.0
1997,florida,escambia,NOT SPECIFIED,florida_escambia,515.0
1997,florida,gadsden,NOT SPECIFIED,florida_gadsden,515.0
1997,florida,jackson,NOT SPECIFIED,florida_jackson,1185.0
1997,florida,santa rosa,NOT SPECIFIED,florida_santa rosa,515.0
1997,georgia,bleckley,NOT SPECIFIED,georgia_bleckley,48.0
1997,georgia,dodge,NOT SPECIFIED,georgia_dodge,443.0
1997,georgia,houston,NOT SPECIFIED,georgia_houston,470.0
1997,georgia,johnson,NOT SPECIFIED,georgia_johnson,721.3152654867257
1997,georgia,laurens,NOT SPECIFIED,georgia_laurens,215.0
1997,georgia,montgomery,NOT SPECIFIED,georgia_montgomery,721.3152654867257
1997,georgia,peach,NOT SPECIFIED,georgia_peach,721.3152654867257
1997,georgia,pulaski,NOT SPECIFIED,georgia_pulaski,200.0
1997,georgia,treutlen,NOT SPECIFIED,georgia_treutlen,721.3152654867257
1997,georgia,washington,NOT SPECIFIED,georgia_washington,144.0
1997,georgia,wheeler,NOT SPECIFIED,georgia_wheeler,275.0
1997,georgia,bulloch,NOT SPECIFIED,georgia_bulloch,742.0
1997,georgia,burke,NOT SPECIFIED,georgia_burke,830.0
1997,georgia,candler,NOT SPECIFIED,georgia_candler,116.0
1997,georgia,jefferson,NOT SPECIFIED,georgia_jefferson,1897.0
1997,georgia,jenkins,NOT SPECIFIED,georgia_jenkins,523.0
1997,georgia,screven,NOT SPECIFIED,georgia_screven,418.0
1997,georgia,hart,NOT SPECIFIED,georgia_hart,650.0
1997,georgia,gordon,NOT SPECIFIED,georgia_gordon,660.0
1997,georgia,atkinson,NOT SPECIFIED,georgia_atkinson,246.33333333333334
1997,georgia,berrien,NOT SPECIFIED,georgia_berrien,255.0
1997,georgia,brooks,NOT SPECIFIED,georgia_brooks,383.0
1997,georgia,coffee,NOT SPECIFIED,georgia_coffee,395.0
1997,georgia,colquitt,NOT SPECIFIED,georgia_colquitt,170.0
1997,georgia,cook,NOT SPECIFIED,georgia_cook,132.0
1997,georgia,crisp,NOT SPECIFIED,georgia_crisp,503.0
1997,georgia,dooly,NOT SPECIFIED,georgia_dooly,612.75
1997,georgia,echols,NOT SPECIFIED,georgia_echols,721.3152654867257
1997,georgia,irwin,NOT SPECIFIED,georgia_irwin,185.0
1997,georgia,jeff davis,NOT SPECIFIED,georgia_jeff davis,317.0
1997,georgia,telfair,NOT SPECIFIED,georgia_telfair,456.0
1997,georgia,tift,NOT SPECIFIED,georgia_tift,155.0
1997,georgia,turner,NOT SPECIFIED,georgia_turner,90.0
1997,georgia,wilcox,NOT SPECIFIED,georgia_wilcox,176.0
1997,georgia,worth,NOT SPECIFIED,georgia_worth,475.0
1997,georgia,bryan,NOT SPECIFIED,georgia_bryan,721.3152654867257
1997,georgia,evans,NOT SPECIFIED,georgia_evans,166.0
1997,georgia,pierce,NOT SPECIFIED,georgia_pierce,614.5
1997,georgia,tattnall,NOT SPECIFIED,georgia_tattnall,3645.0
1997,georgia,toombs,NOT SPECIFIED,georgia_toombs,802.0
1997,georgia,baker,NOT SPECIFIED,georgia_baker,588.0
1997,georgia,calhoun,NOT SPECIFIED,georgia_calhoun,451.0
1997,georgia,decatur,NOT SPECIFIED,georgia_decatur,3926.0
1997,georgia,dougherty,NOT SPECIFIED,georgia_dougherty,721.3152654867257
1997,georgia,early,NOT SPECIFIED,georgia_early,643.0
1997,georgia,grady,NOT SPECIFIED,georgia_grady,80.0
1997,georgia,lee,NOT SPECIFIED,georgia_lee,561.0
1997,georgia,miller,NOT SPECIFIED,georgia_miller,286.0
1997,georgia,mitchell,NOT SPECIFIED,georgia_mitchell,908.0
1997,georgia,randolph,NOT SPECIFIED,georgia_randolph,1120.0
1997,georgia,seminole,NOT SPECIFIED,georgia_seminole,1388.0
1997,georgia,sumter,NOT SPECIFIED,georgia_sumter,1697.0
1997,georgia,terrell,NOT SPECIFIED,georgia_terrell,1411.0
1997,georgia,webster,NOT SPECIFIED,georgia_webster,310.0
1997,georgia,macon,NOT SPECIFIED,georgia_macon,1123.0
1997,georgia,pike,NOT SPECIFIED,georgia_pike,721.3152654867257
1997,illinois,de witt,NOT SPECIFIED,illinois_de witt,2251.062103929024
1997,illinois,logan,NOT SPECIFIED,illinois_logan,117.0
1997,illinois,macon,NOT SPECIFIED,illinois_macon,2251.062103929024
1997,illinois,marshall,NOT SPECIFIED,illinois_marshall,659.0
1997,illinois,mason,NOT SPECIFIED,illinois_mason,23674.0
